"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Nidorina","Poison Sting","Return","7.756","155.5","16.41","1498"
"Medicham","Counter","Ice Punch","7.755","174.8","16.9","1637"
"Alolan Marowak","Hex","Flame Wheel","7.754","210.4","17.7","2100"
"Linoone","Sand Attack","Thunder","7.752","176.9","16.94","1901"
"Scorbunny","Tackle","Flame Charge","7.752","87.9","14.23","1255"
"Joltik","Charge Beam","Bug Buzz","7.751","105.7","14.89","1170"
"Elgyem","Astonish","Dark Pulse","7.75","113.9","15.17","1584"
"Audino","Pound","Dazzling Gleam","7.748","268.3","18.8","1924"
"Koffing","Acid","Sludge","7.748","129.6","15.67","1389"
"Wattrel","Peck","Thunderbolt","7.748","74.7","13.65","945"
"Oddish","Acid","Moonblast","7.746","111.7","15.09","1405"
"Cutiefly","Struggle Bug","Bug Buzz","7.745","79.7","13.87","1016"
"Chikorita","Vine Whip","Grass Knot","7.744","120.4","15.38","1070"
"Shadow Larvitar","Rock Smash","Crunch","7.743","84.1","14.06","1190"
"Shadow Chikorita","Vine Whip","Energy Ball","7.74","100.3","14.69","1070"
"Shadow Totodile","Water Gun","Aqua Jet","7.74","96.5","14.54","1294"
"Slugma","Ember","Flame Burst","7.737","71.3","13.48","1023"
"Minior (Meteor Form)","Rollout","Acrobatics","7.735","218.2","17.83","1764"
"Spearow","Quick Attack","Aerial Ace","7.735","62.2","13.02","913"
"Furret","Sucker Punch","Brick Break","7.734","183.1","17.06","2011"
"Rock Star Pikachu","Charm","Meteor Mash","7.734","85.9","14.12","1073"
"Herdier","Take Down","Play Rough","7.733","154.1","16.34","1811"
"Alomomola","Hidden Power (Fire)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Fighting)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Flying)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Grass)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Poison)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Electric)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Ground)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Psychic)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Rock)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Ice)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Bug)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Dragon)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Ghost)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Dark)","Blizzard","7.732","316.4","19.55","2481"
"Alomomola","Hidden Power (Steel)","Blizzard","7.732","316.4","19.55","2481"
"Grimer","Mud Slap","Mud Bomb","7.732","132.1","15.72","1572"
"Rufflet","Peck","Rock Tomb","7.732","128.6","15.61","1706"
"Hisuian Voltorb","Tackle","Thunderbolt","7.73","104.4","14.82","1155"
"Klang","Charge Beam","Zap Cannon","7.73","197.2","17.37","2113"
"Tirtouga","Bite","Body Slam","7.73","157.1","16.41","1703"
"Voltorb","Tackle","Thunderbolt","7.73","104.4","14.82","1155"
"Shadow Sandshrew","Mud Shot","Rock Tomb","7.729","104.9","14.84","1443"
"Staryu","Tackle","Power Gem","7.729","91.2","14.32","1323"
"Shadow Spheal","Water Gun","Aurora Beam","7.728","100.4","14.67","1101"
"Hippopotas","Bite","Dig","7.727","150.1","16.22","1553"
"Steelix","Thunder Fang","Crunch","7.727","345.1","19.97","2762"
"Deino","Tackle","Dragon Pulse","7.726","103.3","14.78","1214"
"Rhyhorn","Mud Slap","Horn Attack","7.726","178.6","16.94","1889"
"Galarian Slowpoke","Iron Tail","Surf","7.725","153.9","16.32","1403"
"Litleo","Ember","Crunch","7.725","134.8","15.79","1631"
"Charjabug","Volt Switch","Crunch","7.722","176.9","16.89","1942"
"Foongus","Feint Attack","Grass Knot","7.722","120.2","15.34","1120"
"Sliggoo","Water Gun","Water Pulse","7.721","215.4","17.75","2330"
"Sliggoo","Tackle","Water Pulse","7.721","215.4","17.75","2330"
"Patrat","Tackle","Hyper Fang","7.72","77.1","13.73","905"
"Shadow Bastiodon","Iron Tail","Stone Edge","7.72","261.3","18.62","1761"
"Hatenna","Confusion","Psychic","7.719","91.3","14.32","985"
"Alolan Diglett","Metal Claw","Return","7.717","48.2","12.2","779"
"Porygon","Charge Beam","Signal Beam","7.717","164.7","16.59","1968"
"Furret","Sucker Punch","Dig","7.716","182.7","17.02","2011"
"Maushold","Bullet Seed","Swift","7.716","204.4","17.5","2271"
"Munchlax","Tackle","Bulldoze","7.716","243.4","18.29","2164"
"Cetoddle","Ice Shard","Heavy Slam","7.714","147.8","16.14","1487"
"Crabrawler","Bubble","Payback","7.713","107.1","14.89","1559"
"Turtwig","Tackle","Return","7.713","123.2","15.42","1358"
"Phantump","Tackle","Foul Play","7.712","101.1","14.68","1285"
"Chimchar","Scratch","Return","7.711","87.8","14.16","1095"
"Snubbull","Bite","Brick Break","7.711","104.1","14.78","1416"
"Mega Audino","Zen Headbutt","Disarming Voice","7.709","380.9","20.44","2887"
"Shadow Whismur","Astonish","Stomp","7.709","51.5","12.39","767"
"Linoone","Shadow Claw","Dig","7.708","175.9","16.85","1901"
"Mudkip","Water Gun","Stomp","7.706","100.4","14.64","1290"
"Snubbull","Tackle","Crunch","7.704","104","14.77","1416"
"Charmander","Ember","Return","7.703","87.8","14.16","1121"
"Cyndaquil","Ember","Return","7.703","87.8","14.16","1121"
"Shadow Makuhita","Rock Smash","Low Sweep","7.703","67.2","13.24","935"
"Kirlia","Magical Leaf","Return","7.702","84.1","14","1106"
"Sandshrew","Mud Shot","Dig","7.701","125.5","15.47","1443"
"Silicobra","Mud Slap","Earth Power","7.701","131.6","15.66","1237"
"Dunsparce","Rollout","Drill Run","7.7","209.8","17.59","1932"
"Sandshrew","Scratch","Rock Slide","7.7","125.5","15.47","1443"
"Diggersby","Mud Shot","Earthquake","7.699","221.3","17.83","1726"
"Furfrou","Take Down","Dark Pulse","7.698","218","17.76","2415"
"Goldeen","Peck","Aqua Tail","7.698","109.2","14.94","1318"
"Shadow Squirtle","Tackle","Aqua Tail","7.698","98.4","14.55","1082"
"Mareep","Tackle","Return","7.696","92.5","14.33","1133"
"Dusclops","Hex","Return","7.694","205.3","17.49","1820"
"Glameow","Scratch","Thunderbolt","7.694","88.9","14.18","1068"
"Piplup","Pound","Return","7.693","112.2","15.03","1229"
"Grubbin","Spark","X-Scissor","7.691","89.8","14.22","1126"
"Patrat","Bite","Return","7.688","76.8","13.67","905"
"Pidgeotto","Wing Attack","Aerial Ace","7.688","128.2","15.53","1366"
"Torchic","Scratch","Flame Charge","7.688","89","14.18","1251"
"Corsola","Tackle","Power Gem","7.685","168","16.62","1576"
"Herdier","Lick","Dig","7.685","153.1","16.24","1811"
"Pawmi","Spark","Discharge","7.684","52.3","12.41","728"
"Cetoddle","Tackle","Heavy Slam","7.682","147.2","16.07","1487"
"Piplup","Bubble","Return","7.682","112","15.01","1229"
"Flittle","Peck","Psychic","7.681","53.5","12.48","803"
"Gligar","Wing Attack","Night Slash","7.681","216","17.69","2124"
"Registeel","Rock Smash","Focus Blast","7.676","374.8","20.29","2799"
"Bayleef","Tackle","Return","7.674","176.1","16.8","1664"
"Mawile","Astonish","Power-Up Punch","7.672","144.4","15.98","1870"
"Skrelp","Acid","Aqua Tail","7.672","114.8","15.09","1216"
"Nidoran♂","Peck","Sludge Bomb","7.671","80.4","13.8","984"
"Nidorino","Poison Jab","Horn Attack","7.671","131.2","15.6","1594"
"Voltorb","Tackle","Discharge","7.67","103.6","14.7","1155"
"Dwebble","Cut","X-Scissor","7.669","132.3","15.63","1401"
"Magcargo","Ember","Heat Wave","7.668","190.6","17.12","1947"
"Petilil","Hidden Power (Fire)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Fighting)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Water)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Flying)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Poison)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Electric)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Ground)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Psychic)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Rock)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Ice)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Bug)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Dragon)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Ghost)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Dark)","Seed Bomb","7.668","92.3","14.28","1178"
"Petilil","Hidden Power (Steel)","Seed Bomb","7.668","92.3","14.28","1178"
"Deerling","Tackle","Energy Ball","7.666","119","15.22","1298"
"Claydol","Mud Slap","Rock Tomb","7.663","252.4","18.36","2255"
"Dratini","Dragon Breath","Aqua Tail","7.662","87.7","14.09","1149"
"Hisuian Voltorb","Charge Beam","Thunderbolt","7.662","103.5","14.69","1155"
"Shadow Phanpy","Rock Smash","Trailblaze","7.66","127.1","15.46","1380"
"Impidimp","Bite","Dark Pulse","7.659","73","13.46","924"
"Staravia","Quick Attack","Heat Wave","7.659","106.7","14.8","1486"
"Gothita","Confusion","Psychic","7.657","110.4","14.92","1088"
"Poliwhirl","Bubble","Water Pulse","7.657","149.3","16.09","1623"
"Panpour","Scratch","Surf","7.651","100.6","14.57","1094"
"Stunfisk","Thunder Shock","Muddy Water","7.651","288.1","18.95","2474"
"Aron","Tackle","Return","7.65","144","15.93","1496"
"Shadow Hippopotas","Tackle","Rock Tomb","7.65","123.9","15.35","1553"
"Shuppet","Astonish","Night Shade","7.649","69","13.26","1165"
"Aron","Tackle","Iron Head","7.648","144","15.93","1496"
"Dratini","Iron Tail","Return","7.647","87.5","14.06","1149"
"Shadow Nidorina","Poison Sting","Dig","7.647","127.7","15.46","1498"
"Flittle","Confusion","Psyshock","7.646","53.3","12.42","803"
"Pidove","Air Slash","Return","7.646","87.7","14.07","970"
"Araquanid","Bug Bite","Water Pulse","7.644","261.3","18.48","2090"
"Shadow Bidoof","Tackle","Shadow Ball","7.643","74.8","13.52","825"
"Litten","Scratch","Flame Charge","7.641","81.5","13.81","1184"
"Shadow Poliwag","Mud Shot","Bubble Beam","7.641","66.2","13.11","948"
"Shadow Drowzee","Pound","Psyshock","7.64","129.8","15.51","1190"
"Vanillish","Astonish","Icy Wind","7.64","142.9","15.89","1820"
"Deino","Tackle","Crunch","7.639","102.2","14.61","1214"
"Shadow Lileep","Infestation","Ancient Power","7.639","150.1","16.08","1477"
"Pidgeotto","Steel Wing","Aerial Ace","7.638","127.3","15.43","1366"
"Shadow Totodile","Scratch","Aqua Jet","7.635","95.2","14.35","1294"
"Palpitoad","Bubble","Water Pulse","7.634","147.3","16","1592"
"Alolan Sandshrew","Powder Snow","Return","7.633","132.6","15.58","1479"
"Shadow Bayleef","Tackle","Ancient Power","7.633","145.9","15.96","1664"
"Skrelp","Water Gun","Aqua Tail","7.632","114.2","15.01","1216"
"Quilladin","Low Kick","Gyro Ball","7.631","177.2","16.75","1967"
"Shadow Bastiodon","Smack Down","Stone Edge","7.629","258.3","18.4","1761"
"Shadow Sandshrew","Scratch","Sand Tomb","7.628","103.6","14.64","1443"
"Steelix","Dragon Tail","Psychic Fangs","7.628","340.7","19.72","2762"
"Stunky","Scratch","Flamethrower","7.628","111.3","14.91","1317"
"Swadloon","Bug Bite","Energy Ball","7.627","172.6","16.63","1568"
"Woobat","Air Slash","Psyshock","7.625","107.7","14.78","1163"
"Exeggcute","Confusion","Seed Bomb","7.624","144.1","15.9","1344"
"Fidough","Charm","Play Rough","7.623","110.1","14.86","1127"
"Kabuto","Scratch","Aqua Jet","7.623","109.8","14.85","1568"
"Bagon","Bite","Crunch","7.621","93.4","14.26","1323"
"Bulbasaur","Tackle","Return","7.621","109","14.82","1275"
"Shadow Larvitar","Rock Smash","Stomp","7.62","82.8","13.83","1190"
"Snorlax","Yawn","Body Slam","7.62","384","20.3","3690"
"Sandshrew","Mud Shot","Rock Slide","7.618","124.1","15.3","1443"
"Shadow Onix","Rock Throw","Rock Slide","7.618","156.9","16.23","1260"
"Chimchar","Ember","Return","7.617","86.7","13.99","1095"
"Horsea","Water Gun","Dragon Pulse","7.617","83.5","13.86","1208"
"Shadow Alolan Sandshrew","Powder Snow","Night Slash","7.617","110.3","14.86","1479"
"Trapinch","Struggle Bug","Sand Tomb","7.612","80.4","13.72","1458"
"Azumarill","Rock Smash","Play Rough","7.608","242.1","18.07","1816"
"Exeggcute","Confusion","Return","7.608","143.7","15.86","1344"
"Galarian Meowth","Metal Claw","Trailblaze","7.608","98.2","14.42","1184"
"Bagon","Ember","Flamethrower","7.607","93.3","14.24","1323"
"Cyndaquil","Tackle","Return","7.607","86.7","13.98","1121"
"Hippopotas","Tackle","Dig","7.605","147.8","15.97","1553"
"Shroodle","Poison Jab","Poison Fang","7.604","69.3","13.21","1063"
"Delibird","Present","Ice Punch","7.601","90.6","14.12","1252"
"Sinistea","Sucker Punch","Dark Pulse","7.601","90.4","14.12","1303"
"Torchic","Ember","Flame Charge","7.601","88","14.02","1251"
"Ekans","Acid","Gunk Shot","7.6","85.1","13.9","1061"
"Jigglypuff","Pound","Play Rough","7.6","89.9","14.09","828"
"Rockruff","Rock Throw","Rock Tomb","7.6","80.2","13.7","1087"
"Vulpix","Quick Attack","Weather Ball Fire","7.599","98","14.4","1010"
"Golett","Mud Slap","Brick Break","7.598","108.4","14.77","1360"
"Eiscue (Ice Face)","Powder Snow","Icy Wind","7.596","248.2","18.16","2362"
"Roggenrola","Tackle","Rock Blast","7.596","121.4","15.19","1378"
"Shadow Lileep","Bullet Seed","Ancient Power","7.596","149.3","15.99","1477"
"Shadow Makuhita","Tackle","Low Sweep","7.596","66.2","13.05","935"
"Shadow Voltorb","Spark","Signal Beam","7.595","85.5","13.91","1155"
"Buneary","Quick Attack","Swift","7.593","116.5","15.03","1440"
"Kirlia","Magical Leaf","Triple Axel","7.593","82.9","13.8","1106"
"Oinkologne (Female)","Take Down","Body Slam","7.593","283.8","18.77","2852"
"Vullaby","Air Slash","Foul Play","7.592","173.6","16.6","1455"
"Oranguru","Yawn","Psychic","7.59","276.9","18.65","2803"
"Palafin (Zero Form)","Counter","Aqua Jet","7.588","229.9","17.8","2205"
"Registeel","Rock Smash","Zap Cannon","7.586","370.4","20.05","2799"
"Shadow Litwick","Astonish","Flame Charge","7.585","86.2","13.93","1151"
"Snover","Ice Shard","Return","7.585","122.8","15.22","1326"
"Poliwhirl","Mud Shot","Bubble Beam","7.583","147.9","15.93","1623"
"Sableye","Feint Attack","Shadow Sneak","7.583","138.2","15.67","1688"
"Dewgong","Iron Tail","Icy Wind","7.582","256.6","18.29","2271"
"Shadow Bidoof","Tackle","Grass Knot","7.581","74.1","13.41","825"
"Amaura","Powder Snow","Thunderbolt","7.58","148.5","15.95","1560"
"Aipom","Scratch","Low Sweep","7.579","123","15.21","1542"
"Claydol","Confusion","Rock Tomb","7.578","249.6","18.15","2255"
"Lickitung","Lick","Power Whip","7.578","203","17.24","1614"
"Maushold","Take Down","Crunch","7.577","200.7","17.19","2271"
"Lumineon","Waterfall","Silver Wind","7.576","205.9","17.3","2075"
"Oinkologne (Female)","Take Down","Trailblaze","7.574","283.1","18.73","2852"
"Noctowl","Wing Attack","Night Shade","7.573","246.7","18.09","2316"
"Spidops","Struggle Bug","Lunge","7.573","185","16.84","1930"
"Venonat","Bug Bite","Return","7.572","117.5","15.03","1148"
"Ledian","Bug Bite","Dynamic Punch","7.571","187.7","16.89","1540"
"Galarian Linoone","Lick","Dig","7.57","172.7","16.54","1901"
"Registeel","Rock Smash","Flash Cannon","7.57","369.6","20.01","2799"
"Charmander","Scratch","Flame Burst","7.565","86.3","13.9","1121"
"Shadow Corphish","Rock Smash","Vise Grip","7.565","79.9","13.64","1408"
"Shadow Snover","Powder Snow","Stomp","7.565","102.1","14.5","1326"
"Shadow Poliwag","Bubble","Body Slam","7.564","65.5","12.98","948"
"Wigglytuff","Feint Attack","Icy Wind","7.563","195.5","17.05","2204"
"Shedinja","Shadow Claw","Aerial Ace","7.561","8.5","7.77","450"
"Shedinja","Shadow Claw","Dig","7.561","8.5","7.77","450"
"Shedinja","Shadow Claw","Shadow Sneak","7.561","8.5","7.77","450"
"Stunky","Scratch","Trailblaze","7.56","110.3","14.77","1317"
"Gothita","Pound","Psychic","7.559","109","14.73","1088"
"Alolan Diglett","Mud Slap","Return","7.558","47.2","11.95","779"
"Dewgong","Ice Shard","Icy Wind","7.556","255.7","18.22","2271"
"Psyduck","Zen Headbutt","Return","7.556","100.3","14.42","1265"
"Dwebble","Cut","Return","7.554","130.4","15.4","1401"
"Toxapex","Poison Jab","Sludge Wave","7.554","262.5","18.34","1928"
"Shadow Meowth","Bite","Foul Play","7.553","62.7","12.82","856"
"Alolan Diglett","Sand Attack","Return","7.552","47.2","11.94","779"
"Litten","Ember","Flame Charge","7.552","80.6","13.65","1184"
"Probopass","Spark","Zap Cannon","7.551","295.6","18.89","2379"
"Shellder","Ice Shard","Razor Shell","7.551","104.5","14.56","1235"
"Salandit","Ember","Poison Fang","7.55","84.8","13.82","1283"
"Bonsly","Counter","Earthquake","7.548","134.8","15.52","1489"
"Glameow","Quick Attack","Play Rough","7.548","87.2","13.92","1068"
"Wartortle","Bite","Ice Beam","7.548","171.1","16.47","1702"
"Castform (Rainy)","Tackle","Thunder","7.547","172.5","16.5","1867"
"Chikorita","Magical Leaf","Grass Knot","7.547","117.4","14.99","1070"
"Numel","Ember","Bulldoze","7.543","95.7","14.24","1210"
"Alolan Rattata","Quick Attack","Shadow Ball","7.542","59.5","12.64","840"
"Palafin (Zero Form)","Counter","Drain Punch","7.542","228.5","17.69","2205"
"Wormadam (Plant Cloak)","Bug Bite","Psybeam","7.541","198.5","17.08","2029"
"Wormadam (Sandy Cloak)","Bug Bite","Psybeam","7.541","198.5","17.08","2029"
"Shadow Spoink","Splash","Shadow Ball","7.54","116.2","14.94","1526"
"Shadow Phanpy","Rock Smash","Body Slam","7.536","125.1","15.21","1380"
"Sealeo","Powder Snow","Water Pulse","7.534","195.2","17","1962"
"Cradily","Infestation","Bulldoze","7.531","268.7","18.41","2529"
"Araquanid","Infestation","Bubble Beam","7.529","257.4","18.21","2090"
"Shadow Chikorita","Magical Leaf","Energy Ball","7.529","97.6","14.29","1070"
"Alolan Rattata","Tackle","Shadow Ball","7.528","59.4","12.62","840"
"Staravia","Wing Attack","Heat Wave","7.528","104.9","14.54","1486"
"Shadow Bastiodon","Iron Tail","Flash Cannon","7.526","254.8","18.15","1761"
"Carkol","Smack Down","Rock Blast","7.525","210.7","17.31","1730"
"Croagunk","Mud Shot","Return","7.524","81","13.63","1089"
"Deino","Dragon Breath","Body Slam","7.524","100.6","14.39","1214"
"Shadow Sandshrew","Sand Attack","Sand Tomb","7.524","102.1","14.44","1443"
"Toxapex","Bite","Gunk Shot","7.524","261.5","18.27","1928"
"Clobbopus","Rock Smash","Brick Break","7.523","107.1","14.61","1301"
"Treecko","Bullet Seed","Energy Ball","7.523","87.9","13.91","1204"
"Galarian Stunfisk","Mud Shot","Muddy Water","7.521","283.2","18.63","2474"
"Nidorina","Bite","Thunderbolt","7.521","150.7","15.91","1498"
"Stunfisk","Mud Shot","Muddy Water","7.521","283.2","18.63","2474"
"Koffing","Tackle","Return","7.52","125.7","15.21","1389"
"Silicobra","Mud Shot","Earth Power","7.517","128.5","15.29","1237"
"Herdier","Take Down","Thunderbolt","7.513","149.7","15.87","1811"
"Bayleef","Tackle","Energy Ball","7.511","172.3","16.44","1664"
"Herdier","Sand Attack","Dig","7.511","149.7","15.87","1811"
"Vanillite","Astonish","Ice Beam","7.511","92.4","14.06","1182"
"Palpitoad","Mud Shot","Water Pulse","7.509","144.9","15.74","1592"
"Remoraid","Water Gun","Rock Blast","7.509","63.1","12.78","1043"
"Spearow","Peck","Aerial Ace","7.507","60.3","12.64","913"
"Shadow Barboach","Water Gun","Ice Beam","7.506","73.2","13.26","937"
"Shadow Shellder","Ice Shard","Water Pulse","7.506","86.6","13.83","1235"
"Dusclops","Feint Attack","Return","7.503","200.2","17.05","1820"
"Serperior","Iron Tail","Leaf Tornado","7.501","255.6","18.12","2605"
"Shadow Ledian","Struggle Bug","Silver Wind","7.501","155","15.99","1540"
"Turtwig","Tackle","Energy Ball","7.501","119.9","15","1358"
"Spritzee","Charm","Thunderbolt","7.5","153.2","15.95","1432"
"Shadow Electrike","Spark","Swift","7.499","62.3","12.73","1104"
"Floette","Tackle","Petal Blizzard","7.498","157.1","16.04","1752"
"Shadow Gothita","Confusion","Psybeam","7.498","90.1","13.96","1088"
"Cufant","Tackle","Dig","7.496","120.5","15.01","1575"
"Munchlax","Lick","Bulldoze","7.496","236.4","17.76","2164"
"Numel","Tackle","Bulldoze","7.492","95","14.14","1210"
"Spinarak","Bug Bite","Signal Beam","7.489","70.6","13.12","934"
"Shadow Ekans","Acid","Wrap","7.488","69.9","13.09","1061"
"Mime Jr.","Confusion","Psybeam","7.487","93.3","14.07","1253"
"Shadow Mawile","Ice Fang","Vise Grip","7.487","117.5","14.9","1870"
"Alolan Sandshrew","Powder Snow","Gyro Ball","7.486","130.1","15.28","1479"
"Jumpluff","Fairy Wind","Acrobatics","7.485","230.6","17.64","1872"
"Cherubi","Tackle","Seed Bomb","7.483","90.9","13.97","1087"
"Galarian Slowpoke","Iron Tail","Psyshock","7.482","149","15.81","1403"
"Rowlet","Magical Leaf","Seed Bomb","7.482","124.6","15.11","1210"
"Turtwig","Razor Leaf","Body Slam","7.482","119.6","14.96","1358"
"Galarian Meowth","Scratch","Gyro Ball","7.481","96.6","14.18","1184"
"Aron","Metal Claw","Body Slam","7.48","140.8","15.58","1496"
"Charmander","Ember","Flame Burst","7.48","85.3","13.75","1121"
"Shadow Nidoran♂","Peck","Body Slam","7.479","65.3","12.86","984"
"Munna","Charge Beam","Psyshock","7.478","125.8","15.14","1310"
"Obstagoon","Counter","Obstruct","7.478","281.7","18.53","3034"
"Fomantis","Fury Cutter","Trailblaze","7.477","63.3","12.75","848"
"Vulpix","Ember","Weather Ball Fire","7.477","96.4","14.17","1010"
"Aron","Metal Claw","Rock Tomb","7.473","140.7","15.57","1496"
"Mantine","Bullet Seed","Water Pulse","7.473","254.5","18.05","2412"
"Nidorina","Poison Sting","Thunderbolt","7.473","149.8","15.81","1498"
"Spinarak","Bug Bite","Cross Poison","7.471","70.5","13.09","934"
"Petilil","Hidden Power (Grass)","Energy Ball","7.469","89.9","13.91","1178"
"Aegislash - Shield ","Psycho Cut","Shadow Ball","7.467","308.4","18.93","1825"
"Spidops","Bug Bite","Rock Tomb","7.466","182.4","16.6","1930"
"Fomantis","Razor Leaf","Trailblaze","7.462","63.2","12.73","848"
"Corsola","Bubble","Rock Blast","7.457","163","16.12","1576"
"Glameow","Quick Attack","Thunderbolt","7.457","86.1","13.75","1068"
"Rattata","Tackle","Body Slam","7.457","58.9","12.5","840"
"Sealeo","Powder Snow","Body Slam","7.457","193.2","16.82","1962"
"Shadow Spheal","Water Gun","Body Slam","7.457","96.9","14.16","1101"
"Cradily","Bullet Seed","Bulldoze","7.456","266","18.22","2529"
"Foongus","Astonish","Grass Knot","7.456","116.1","14.81","1120"
"Palafin (Zero Form)","Waterfall","Icy Wind","7.456","225.9","17.49","2205"
"Rowlet","Razor Leaf","Seed Bomb","7.455","124.2","15.06","1210"
"Slugma","Rock Throw","Rock Slide","7.455","68.7","12.99","1023"
"Jigglypuff","Pound","Dazzling Gleam","7.452","88.1","13.82","828"
"Shadow Bastiodon","Iron Tail","Flamethrower","7.452","252.3","17.97","1761"
"Shadow Sandshrew","Mud Shot","Sand Tomb","7.452","101.2","14.3","1443"
"Jumpluff","Fairy Wind","Return","7.451","229.6","17.56","1872"
"Patrat","Bite","Hyper Fang","7.451","74.4","13.25","905"
"Shadow Dratini","Iron Tail","Twister","7.451","71.1","13.09","1149"
"Shadow Meowth","Scratch","Dark Pulse","7.451","61.9","12.65","856"
"Shadow Foongus","Astonish","Energy Ball","7.45","96.7","14.14","1120"
"Vanillish","Astonish","Signal Beam","7.45","139.4","15.49","1820"
"Voltorb","Spark","Return","7.45","100.6","14.28","1155"
"Sprigatito","Charm","Play Rough","7.449","88.3","13.82","1178"
"Rattata","Quick Attack","Body Slam","7.448","58.8","12.49","840"
"Shadow Voltorb","Spark","Gyro Ball","7.448","83.8","13.64","1155"
"Hippopotas","Sand Attack","Body Slam","7.447","144.7","15.64","1553"
"Shadow Blitzle","Spark","Flame Charge","7.447","55.7","12.31","1010"
"Fidough","Bite","Play Rough","7.446","107.5","14.51","1127"
"Amaura","Powder Snow","Ancient Power","7.442","145.8","15.66","1560"
"Snubbull","Tackle","Brick Break","7.439","100.4","14.26","1416"
"Runerigus","Astonish","Rock Tomb","7.438","247","17.86","2601"
"Shadow Voltorb","Tackle","Signal Beam","7.437","83.7","13.62","1155"
"Impidimp","Sucker Punch","Dark Pulse","7.435","70.9","13.07","924"
"Pikachu Libre","Thunder Shock","Play Rough","7.434","82.5","13.57","1073"
"Piplup","Pound","Drill Peck","7.434","108.4","14.53","1229"
"Pop Star Pikachu","Thunder Shock","Play Rough","7.434","82.5","13.57","1073"
"Rock Star Pikachu","Thunder Shock","Play Rough","7.434","82.5","13.57","1073"
"Frigibax","Ice Fang","Icy Wind","7.433","106.1","14.45","1427"
"Shadow Spheal","Water Gun","Water Pulse","7.433","96.6","14.11","1101"
"Pikachu","Thunder Shock","Surf","7.431","82.5","13.57","1073"
"Professor Pikachu","Thunder Shock","Surf","7.431","82.5","13.57","1073"
"Shadow Bastiodon","Smack Down","Flash Cannon","7.431","251.6","17.93","1761"
"Pawmi","Charge Beam","Discharge","7.43","50.6","12","728"
"Petilil","Charm","Energy Ball","7.43","89.4","13.84","1178"
"Oinkologne (Female)","Take Down","Dig","7.429","277.7","18.37","2852"
"Deoxys (Defense Forme)","Counter","Psycho Boost","7.425","309.1","18.86","2601"
"Psyduck","Water Gun","Cross Chop","7.421","98.5","14.17","1265"
"Shadow Pidove","Quick Attack","Air Cutter","7.419","70.9","13.04","970"
"Carkol","Incinerate","Rock Blast","7.417","207.6","17.06","1730"
"Geodude","Tackle","Rock Tomb","7.416","116.8","14.78","1479"
"Poliwhirl","Bubble","Mud Bomb","7.415","144.6","15.58","1623"
"Roggenrola","Tackle","Stone Edge","7.415","118.5","14.82","1378"
"Shadow Seedot","Quick Attack","Grass Knot","7.415","60.9","12.55","684"
"Rhyhorn","Rock Smash","Stomp","7.414","171.3","16.26","1889"
"Litten","Scratch","Crunch","7.413","79.1","13.4","1184"
"Phantump","Astonish","Foul Play","7.413","97.2","14.11","1285"
"Elekid","Thunder Shock","Brick Break","7.409","97.6","14.11","1380"
"Lickitung","Lick","Body Slam","7.406","198.4","16.85","1614"
"Whirlipede","Poison Sting","Sludge Bomb","7.406","149.2","15.69","1309"
"Alolan Vulpix","Powder Snow","Weather Ball Ice","7.405","95.5","14.03","1010"
"Shdow Alolan Vulpix","Powder Snow","Weather Ball Ice","7.405","95.5","14.03","1010"
"Horsea","Bubble","Dragon Pulse","7.403","81.1","13.47","1208"
